country,region,year,total_consumption_twh,renewable_share_pct,solar_twh,wind_twh,hydro_twh,fossil_twh,co2_emissions_mt,gdp_per_capita_usd,population_millions,renewable_twh,per_capita_consumption_kwh,co2_intensity,renewable_growth_index
United States,North America,2024,4150,27.8,228.0,455.0,300,3167.0,4380,64500,335,983.0,12388059.701492537,1.0554216867469879,210.60606060606065
Germany,Europe,2024,570,54.5,120.0,175.0,32,243.0,182,53800,84,327.0,6785714.285714285,0.3192982456140351,167.6923076923077
India,Asia,2024,1650,31.0,155.0,152.0,178,1165.0,2240,2780,1440,485.0,1145833.3333333333,1.3575757575757577,196.20253164556962
China,Asia,2024,7250,41.5,325.0,610.0,1330,4985.0,7820,10700,1408,2265.0,5149147.7272727275,1.0786206896551724,169.3877551020408
Brazil,South America,2024,560,83.0,22.0,48.0,398,92.0,72,9800,216,468.0,2592592.592592593,0.12857142857142856,105.73248407643312
United Kingdom,Europe,2024,315,54.0,45.0,105.0,15,150.0,70,48800,68,165.0,4632352.94117647,0.2222222222222222,217.74193548387095
Australia,Oceania,2024,268,39.0,52.0,72.0,18,126.0,95,59000,27,142.0,9925925.925925925,0.35447761194029853,236.36363636363637
Japan,Asia,2024,965,22.8,108.0,48.0,82,727.0,345,43200,124,238.0,7782258.064516129,0.35751295336787564,182.4
Norway,Europe,2024,155,99.0,1.5,6.0,145,0.5,2,94000,6,152.5,25833333.333333332,0.012903225806451613,101.0204081632653
South Africa,Africa,2024,250,18.5,18.0,9.0,5,218.0,152,6600,63,32.0,3968253.9682539683,0.608,217.6470588235294
United Arab Emirates,Middle East,2024,158,15.0,18.0,0.0,0,134.0,85,52000,11,18.0,14363636.363636363,0.5379746835443038,1875.0
France,Europe,2024,482,39.0,50.0,72.0,67,293.0,58,47500,68,189.0,7088235.294117647,0.12033195020746888,200.0
